id,ticket,created_at,order_id,symbol,deal_type,entry,volume,price,profit,commission,swap,magic,comment,raw_json
1,8078480720,2026-05-05T11:15:13+00:00,8487403730,USDJPY,0,0,18.65,157.279,0.0,0.0,0.0,260435,mt5bot_buy_fok,"{""ticket"": 8078480720, ""order"": 8487403730, ""time"": 1777979713, ""time_msc"": 1777979713033, ""type"": 0, ""entry"": 0, ""magic"": 260435, ""position_id"": 8487403730, ""reason"": 3, ""volume"": 18.65, ""price"": 157.279, ""commission"": 0.0, ""swap"": 0.0, ""profit"": 0.0, ""fee"": 0.0, ""symbol"": ""USDJPY"", ""comment"": ""mt5bot_buy_fok"", ""external_id"": """"}"
167,8079143922,2026-05-05T12:00:12+00:00,8487984965,USDJPY,1,1,18.65,157.546,3160.7,0.0,0.0,260435,[tp 157.546],"{""ticket"": 8079143922, ""order"": 8487984965, ""time"": 1777982412, ""time_msc"": 1777982412003, ""type"": 1, ""entry"": 1, ""magic"": 260435, ""position_id"": 8487403730, ""reason"": 5, ""volume"": 18.65, ""price"": 157.546, ""commission"": 0.0, ""swap"": 0.0, ""profit"": 3160.7, ""fee"": 0.0, ""symbol"": ""USDJPY"", ""comment"": ""[tp 157.546]"", ""external_id"": """"}"
